# Forces                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  forces(pressure viscous porous)	moments(pressure viscous porous)
14                      	((5.2244455696399739e-01 -9.2686079634646940e-06 4.5593360298089998e+00) (9.9933769784777068e-02 1.5736064333135932e-07 1.9048909361926526e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((1.3780129779073901e-06 -1.0689394994246387e-06 -1.7580213610227899e-05) (3.7818077823308375e-07 1.1135355452323195e-01 -5.5940657091592383e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
15                      	((5.2932968432434635e-01 -6.5794901153875609e-06 4.5631299528788167e+00) (9.3440901392405670e-02 1.8921381676706368e-07 1.9991120087937169e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-8.0314504724401979e-06 -8.9791571331714941e-07 2.0643534929855984e-05) (2.7692874191240114e-07 1.0480684772984306e-01 -5.3518279933981728e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
16                      	((5.3615263847735750e-01 3.0949630629453134e-06 4.5614923601351807e+00) (8.7674340511140147e-02 2.0962343395419665e-07 2.0919566260974177e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.9477400920616208e-05 -6.8064703926518659e-07 5.1677479804813149e-05) (9.6165108427292953e-08 9.8980489313454323e-02 -4.4828466515334703e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
17                      	((5.4221236934849271e-01 9.2117779472215349e-06 4.5554257631976904e+00) (8.2504788272797086e-02 1.9584986879274549e-07 2.1823877081940272e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.5356802868602472e-05 -4.3605726675104541e-07 7.0851819956489862e-05) (-1.7016120805072703e-07 9.3763054396107923e-02 -3.2320331548622740e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
18                      	((5.4750499445065770e-01 8.0571599487929131e-06 4.5451104752409579e+00) (7.7846983358707586e-02 1.5635618834227076e-07 2.2702427768556802e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.3663909880588781e-05 -2.1223077427841697e-07 8.1199848737648311e-05) (-4.4513764903526174e-07 8.9067817035552707e-02 -2.0515520394878911e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
19                      	((5.5288475479836818e-01 4.9119059272550750e-06 4.5304255722497677e+00) (7.3632207464625579e-02 1.0766518220072558e-07 2.3554455719510169e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.1147827525506567e-05 -4.9556719352897125e-08 9.0760105725724093e-05) (-6.5980573641087035e-07 8.4827560125674065e-02 -9.3135810626776528e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
20                      	((5.5955671051180444e-01 9.1128645281355851e-06 4.5116568517043918e+00) (6.9808442062191223e-02 6.9747245225242907e-08 2.4379763546270920e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.8670649771460523e-05 4.2704673778833470e-08 1.0736089317366151e-04) (-7.4403180972753298e-07 8.0987137171986523e-02 9.2371885379934651e-09) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
21                      	((5.6758045817046998e-01 2.4188652386997603e-05 4.4888942335184776e+00) (6.6333024658547596e-02 8.8180839920553619e-08 2.5177730623551248e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.2723297697013842e-05 7.2810275579775490e-08 1.3542230608015651e-04) (-7.1345040086803925e-07 7.7501202883331316e-02 9.5076161335586379e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
22                      	((5.7707189399784620e-01 5.4324216883908867e-05 4.4620256578171444e+00) (6.3168853761745108e-02 1.8786035382048524e-07 2.5947963492880758e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.5504689875933619e-05 5.0377905778763973e-08 1.5378625932590805e-04) (-6.4104640702194935e-07 7.4329349510352680e-02 1.8145244789366196e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
23                      	((5.8657607422751634e-01 8.5457475540266106e-05 4.4303897731256043e+00) (6.0284105078738798e-02 3.5065237646558979e-07 2.6687050523428454e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.2687221442147434e-05 -1.3005081366924408e-08 1.4192962194128450e-04) (-6.1879658937793448e-07 7.1436603668483131e-02 2.8005015965340314e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
24                      	((5.9757757259080835e-01 1.0241888287794673e-04 4.3947297607824822e+00) (5.7650178170021063e-02 5.0890364086838917e-07 2.7389081380868350e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-7.2095299222609032e-05 -1.0129356065907946e-07 1.0143635578111871e-04) (-6.9818514917422172e-07 6.8791782745262889e-02 4.0235292414341249e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
25                      	((6.0755068089454556e-01 9.7357860911824627e-05 4.3539512856413580e+00) (5.5216756442151495e-02 5.8344119468239804e-07 2.8048586964064297e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-9.7692540229594484e-05 -1.9705491865073892e-07 7.2434599856831529e-05) (-8.8697091109040867e-07 6.6351391841052321e-02 5.5401583338717818e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
26                      	((6.1941945434158707e-01 7.3866867256151022e-05 4.3093370700053457e+00) (5.2999496047408105e-02 5.2505387213365399e-07 2.8671322098183936e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.2220340694530556e-04 -2.8268817132756123e-07 6.3546989683897041e-05) (-1.1438458560263460e-06 6.4112374871903965e-02 7.2827364855039311e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
27                      	((6.3202463204263637e-01 4.1315001896187810e-05 4.2610571110388218e+00) (5.0961502219124620e-02 3.5273181570988511e-07 2.9246249135025264e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.3648637080413578e-04 -3.5660256414171654e-07 8.5116193425859900e-05) (-1.4257602048358562e-06 6.2051714420080513e-02 8.9176400679144870e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
28                      	((6.4251341951597529e-01 1.0363076660083088e-05 4.2081545796227218e+00) (4.9082403823368127e-02 1.2760187963590913e-07 2.9763648608424148e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.3010847329560191e-04 -4.2697493292644929e-07 1.2188657838701290e-04) (-1.6548629672022571e-06 6.0159011107566301e-02 1.0191951724890474e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
29                      	((6.5183329818485192e-01 -8.5624812423373217e-06 4.1517249950280606e+00) (4.7359376956311441e-02 -6.3566370267767331e-08 3.0235879181125479e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.0112264850975071e-04 -4.8591559998342634e-07 1.3994800584132464e-04) (-1.7809948566163291e-06 5.8418360162641965e-02 1.0785738575037293e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
