# Residuals             
# Time                  	p                       	nuTilda                 	Ux                      	Uy                      	Uz                      
1                       	3.1048180231668873e-02	9.9999999922305649e-01	4.5960680953786866e-02	5.8091564928987127e-01	4.9659334148678541e-01
2                       	4.5117511906680287e-03	1.6230151587596255e-02	1.5695812850388530e-02	3.8234914034915229e-01	2.7283390025752169e-01
3                       	3.8936520560698749e-03	3.7692982666631433e-03	8.6453030127785404e-03	2.7117197982381536e-01	1.1153759208675394e-01
4                       	3.6486337221141221e-03	1.7606676390693734e-03	4.5924580893972732e-03	2.6647742596632640e-01	6.0026220954953705e-02
5                       	3.4558292811645124e-03	1.1553782790285666e-03	2.9540641893421493e-03	2.5136125297063527e-01	3.6588601018254986e-02
6                       	3.2590211655278666e-03	9.0078596761919308e-04	2.6284968938564846e-03	2.1767550910524977e-01	2.3761792588745889e-02
7                       	3.0851432458601641e-03	7.6996584161316832e-04	2.2560605547149210e-03	1.9600657013945486e-01	1.7625218395922116e-02
8                       	2.9141316705643327e-03	6.9557025780625297e-04	1.8730403235554614e-03	1.8519037883070225e-01	1.4403661569552854e-02
9                       	2.7600886480355375e-03	6.5659536956840176e-04	1.6011815665425561e-03	1.7383191836364337e-01	1.2048713053977179e-02
10                      	2.6248177247219246e-03	6.3920754804273243e-04	1.4170782277181811e-03	1.6071165142846439e-01	1.0147639383373350e-02
11                      	2.4950279247127880e-03	6.3786431012616848e-04	1.2641256244764916e-03	1.4823885193145930e-01	8.6784554163889839e-03
12                      	2.3786932528046222e-03	6.4859759145740974e-04	1.1289664484144353e-03	1.3682269976486675e-01	7.5163064432371635e-03
13                      	2.2849638569784865e-03	6.6981837876161666e-04	1.0164246225939457e-03	1.2641488579105364e-01	6.5562950196316671e-03
14                      	2.2068066991307290e-03	7.0210087026167120e-04	9.2857039754742302e-04	1.1697390981823753e-01	5.7575458286645721e-03
15                      	2.1227225797731883e-03	7.4461311114703459e-04	8.4771905450889569e-04	1.0805903415520095e-01	5.0951047889728832e-03
16                      	2.0339154499033484e-03	7.9856989961372309e-04	7.7605868998966267e-04	9.9689839294362467e-02	4.5257821240881580e-03
17                      	1.9495000696194949e-03	8.6147142084102245e-04	7.1741910564061015e-04	9.2487277255180814e-02	4.0394622745524369e-03
18                      	1.8628146806866982e-03	9.3321100794578951e-04	6.6667228043713737e-04	8.6187066788912844e-02	3.6193524122866269e-03
19                      	1.7710485716257371e-03	1.0124012531489946e-03	6.1897350308249644e-04	8.0226386209943518e-02	3.2574304771936496e-03
20                      	1.6899586808458602e-03	1.0994782100255886e-03	5.8034740845940274e-04	7.4757664063257401e-02	2.9361138267235925e-03
21                      	1.6254973748880167e-03	1.1955088932391052e-03	5.4626229907335652e-04	6.9784344042495977e-02	2.6551769069104638e-03
22                      	1.5686228419002758e-03	1.3064873733130132e-03	5.1501300916068191e-04	6.5281342551348820e-02	2.4141722515721806e-03
23                      	1.5182851753246835e-03	1.4362591807594758e-03	4.8702439072328128e-04	6.1167659181495145e-02	2.2069095654903268e-03
24                      	1.4655990459053240e-03	1.5894333352068320e-03	4.6032514301477817e-04	5.7673568932498809e-02	2.0246638403853428e-03
25                      	1.4159194667466614e-03	1.7748862565533227e-03	4.3736954985467851e-04	5.4697629066206413e-02	1.8718928337569424e-03
26                      	1.3664788747243279e-03	2.0043175759209934e-03	4.1639180374509891e-04	5.2118028006720156e-02	1.7397531892076195e-03
27                      	1.3185198607396646e-03	2.2994155539459316e-03	3.9883652530565327e-04	4.9891270345169887e-02	1.6304560490528100e-03
28                      	1.2714838769831002e-03	2.6891364248527914e-03	3.8361683556433667e-04	4.8060300015842529e-02	1.5371570887973973e-03
29                      	1.2252691176824770e-03	3.2304857306643927e-03	3.7047707712361497e-04	4.6522269802785829e-02	1.4587656769373557e-03
30                      	1.1841351102779094e-03	4.0107049640705390e-03	3.5837210190457178e-04	4.5169685689993376e-02	1.3874306773184624e-03
31                      	1.1443358324447978e-03	5.2220765410360449e-03	3.4805523849983875e-04	4.3979148349034866e-02	1.3258651837903439e-03
32                      	1.1088266666939585e-03	7.3500052231582434e-03	3.3867038376654405e-04	4.3021687489632907e-02	1.2727352122331899e-03
33                      	1.0751822653572783e-03	1.2042491828284204e-02	3.2985723057280637e-04	4.2267735792635194e-02	1.2240809759397290e-03
34                      	1.0458888226154536e-03	3.1010383902853579e-02	3.2169440788610551e-04	4.1801422068509432e-02	1.1826747357796630e-03
35                      	1.0208484347129451e-03	1.4319110476861243e-02	3.1366808015674660e-04	4.1620591122347554e-02	1.1518357839280246e-03
36                      	1.0016737391572621e-03	8.5925542600414750e-03	3.0591576661940096e-04	4.1691974092334785e-02	1.1289520925011041e-03
37                      	9.8922978426807594e-04	6.2239591573053079e-03	3.0002528339773355e-04	4.1982392718624091e-02	1.1130607841044729e-03
38                      	9.8397013909449593e-04	4.9613584171078516e-03	2.9619004438377031e-04	4.2601923076157636e-02	1.1057585357792533e-03
