# Force coefficients    
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 4.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  	Cm                      	Cd                      	Cl                      	Cl(f)                   	Cl(r)                   
1                       	7.0319976200884005e-01	1.4279795498009802e+00	1.8716679645003556e+00	1.6390337442590179e+00	2.3263422024133773e-01
2                       	3.3139729927322015e-01	7.4291706562803372e-01	2.1556313150164881e+00	1.4092129567814642e+00	7.4641835823502389e-01
3                       	2.1058541732908503e-01	4.0697146137285717e-01	2.1700398511820751e+00	1.2956053429201226e+00	8.7443450826195246e-01
4                       	1.6043667822084731e-01	2.8519934028870808e-01	2.1410686902156719e+00	1.2309710233286832e+00	9.1009766688698868e-01
5                       	1.3221649649142167e-01	2.6395437388536175e-01	2.1339436629645339e+00	1.1991883279736886e+00	9.3475533499084529e-01
6                       	1.1352187656493098e-01	2.7559882993110774e-01	2.1503146290413730e+00	1.1886791910856176e+00	9.6163543795575557e-01
7                       	9.9945510024997242e-02	2.9035132135969199e-01	2.1773797740016096e+00	1.1886353970258021e+00	9.8874437697580753e-01
8                       	8.9512982426956378e-02	3.0023148169396213e-01	2.2054991294158484e+00	1.1922625471348804e+00	1.0132365822809679e+00
9                       	8.1176702849894283e-02	3.0580122943568361e-01	2.2301954316155497e+00	1.1962744186576690e+00	1.0339210129578806e+00
10                      	7.4322068072475211e-02	3.0862376962955917e-01	2.2501595582326233e+00	1.1994018471887868e+00	1.0507577110438364e+00
11                      	6.8562771092618019e-02	3.0990582309950548e-01	2.2654287375806557e+00	1.2012771398829458e+00	1.0641515976977098e+00
12                      	6.3641993798784963e-02	3.1047867483922742e-01	2.2764555199749701e+00	1.2018697537862699e+00	1.0745857661887002e+00
13                      	5.9381192331519755e-02	3.1089989587228156e-01	2.2840765330652513e+00	1.2014194588641454e+00	1.0826570742011059e+00
14                      	5.5676242791866261e-02	3.1118916337438723e-01	2.2891924695854633e+00	1.2002724775845979e+00	1.0889199920008654e+00
15                      	5.2402974907064873e-02	3.1138529285837602e-01	2.2915605364833769e+00	1.1981832431487534e+00	1.0933772933346235e+00
16                      	4.9489904333207532e-02	3.1191348949424880e-01	2.2912059631980775e+00	1.1950928859322463e+00	1.0961130772658312e+00
17                      	4.6881309169420585e-02	3.1235857881064488e-01	2.2886248201398152e+00	1.1911937192393283e+00	1.0974311009004869e+00
18                      	4.4533802402389217e-02	3.1267598890468262e-01	2.2839064515047576e+00	1.1864870281547679e+00	1.0974194233499897e+00
19                      	4.2413755284477356e-02	3.1325848113149690e-01	2.2769900139846388e+00	1.1809087622767969e+00	1.0960812517078420e+00
20                      	4.0493589938330153e-02	3.1468257628699781e-01	2.2680183076253315e+00	1.1745027437509958e+00	1.0935155638743357e+00
21                      	3.8750637846803451e-02	3.1695674141450880e-01	2.2570359820710144e+00	1.1672686288823106e+00	1.0897673531887038e+00
22                      	3.7164699944129229e-02	3.2012037387979564e-01	2.2439868106550125e+00	1.1591581052716355e+00	1.0848287053833769e+00
23                      	3.5718295331700879e-02	3.2343008965312758e-01	2.2285384118245162e+00	1.1499875012439589e+00	1.0785509105805573e+00
24                      	3.4395840725851112e-02	3.2761387538041470e-01	2.2110594210816754e+00	1.1399255512666888e+00	1.0711338698149866e+00
25                      	3.3175597393066837e-02	3.3138371866834854e-01	2.1909999363027111e+00	1.1286755655444223e+00	1.0623243707582888e+00
26                      	3.2056046091866318e-02	3.3620947519449756e-01	2.1690041960517648e+00	1.1165581441177488e+00	1.0524460519340160e+00
27                      	3.1025678908758184e-02	3.4149306713088051e-01	2.1451516800869235e+00	1.1036015189522199e+00	1.0415501611347036e+00
28                      	3.0079292066316689e-02	3.4579791166967172e-01	2.1189591141155728e+00	1.0895588491241031e+00	1.0294002649914697e+00
29                      	2.9208937123520989e-02	3.4959633757058167e-01	2.0909804371045930e+00	1.0746991556758174e+00	1.0162812814287756e+00
30                      	2.8408264864640806e-02	3.5184507399165238e-01	2.0611233772838831e+00	1.0589699535065824e+00	1.0021534237773007e+00
31                      	2.7671515086107674e-02	3.5246056513495799e-01	2.0296841576202773e+00	1.0425135938962464e+00	9.8717056372403100e-01
32                      	2.6994420519434494e-02	3.5126558035023314e-01	1.9969844374591550e+00	1.0254866392490121e+00	9.7149779821014304e-01
33                      	2.6372728247573633e-02	3.4825749686570329e-01	1.9632264105755075e+00	1.0079859335353274e+00	9.5524047704018011e-01
34                      	2.5802471710898545e-02	3.4353688114601744e-01	1.9283417121642259e+00	9.8997332779301150e-01	9.3836838437121439e-01
35                      	2.5279541541205156e-02	3.3771577825753368e-01	1.8928279798944432e+00	9.7169353148842674e-01	9.2113444840601644e-01
36                      	2.4799273759701399e-02	3.3172636504817204e-01	1.8571232439512293e+00	9.5336089573531602e-01	9.0376234821591328e-01
37                      	2.4356590371537930e-02	3.2745575357588846e-01	1.8223334274893750e+00	9.3552330411622542e-01	8.8681012337314957e-01
38                      	2.3946203601117013e-02	3.2585943484213392e-01	1.7890476364859769e+00	9.1847002184410542e-01	8.7057761464187144e-01
39                      	2.3562823669178275e-02	3.2724330690559406e-01	1.7573895005652351e+00	9.0225757395179584e-01	8.5513192661343929e-01
40                      	2.3203288422545352e-02	3.3177786874650961e-01	1.7277456135184328e+00	8.8707609518176178e-01	8.4066951833667103e-01
41                      	2.2866857129745583e-02	3.3929333425106378e-01	1.7006626096959798e+00	8.7319816197773548e-01	8.2746444771824434e-01
42                      	2.2553154177801196e-02	3.4858652075271546e-01	1.6764651032562139e+00	8.6078570580590819e-01	8.1567939745030571e-01
43                      	2.2259689344099210e-02	3.5829058255172236e-01	1.6553501745300778e+00	8.4993477660913808e-01	8.0541539792093975e-01
