# Residuals             
# Time                  	p                       	nuTilda                 	Ux                      	Uy                      	Uz                      
1                       	3.1290414077515677e-02	9.9999999815271279e-01	4.3591841705689562e-02	5.8809044673682132e-01	5.1136807454589783e-01
2                       	4.5699237242383195e-03	9.5759930470060792e-03	1.4916819394269813e-02	3.8909640732333817e-01	2.4383403828453770e-01
3                       	3.9473740154598964e-03	2.0875956932676237e-03	8.1888761885436281e-03	2.7570191027620217e-01	8.8394644918812729e-02
4                       	3.6984489468676746e-03	1.1424363522909195e-03	4.3102346855833596e-03	2.7067455371338589e-01	4.6019501729368799e-02
5                       	3.4997542987465417e-03	9.4108967508663231e-04	2.7579795329927331e-03	2.5514098180954969e-01	2.8590285709120106e-02
6                       	3.2957692055040752e-03	8.5065747585368696e-04	2.4699539545256009e-03	2.2078309152109465e-01	1.9016481398607114e-02
7                       	3.1158096439007910e-03	8.1994216893285072e-04	2.1247398322765130e-03	1.9828109595066612e-01	1.4298836975669452e-02
8                       	2.9438490379789855e-03	8.2007444805396454e-04	1.7657751385519605e-03	1.8721464329061480e-01	1.1774187414641386e-02
9                       	2.7926183452342546e-03	8.3983127332060451e-04	1.5156070536501433e-03	1.7607293743811023e-01	9.8795149777885227e-03
10                      	2.6586233272474532e-03	8.7691236196951370e-04	1.3464334075163878e-03	1.6278842067833862e-01	8.3341737147579979e-03
11                      	2.5316846034041844e-03	9.3301518771468682e-04	1.2046416162858184e-03	1.4964680963105192e-01	7.0948437483057455e-03
12                      	2.4192783216612892e-03	1.0119797597310154e-03	1.0794057417527442e-03	1.3790561775423787e-01	6.1027236422989545e-03
13                      	2.3334535135979243e-03	1.1201281578020836e-03	9.7969546200194022e-04	1.2753890868263382e-01	5.2899558684337510e-03
14                      	2.2558209034337158e-03	1.2678295988803809e-03	8.9819057889617697e-04	1.1789468382548438e-01	4.6279831628204485e-03
15                      	2.1659606263830624e-03	1.4667700998589525e-03	8.2093071956286534e-04	1.0840072122811444e-01	4.0722046314768797e-03
16                      	2.0808007191644448e-03	1.7324393736265265e-03	7.5835335936216310e-04	1.0022206830665423e-01	3.5984755130813745e-03
17                      	1.9967143800524302e-03	2.0879775007577894e-03	7.0667794898921020e-04	9.3210309503653985e-02	3.1972158783511399e-03
18                      	1.9056804253761955e-03	2.5829999102882631e-03	6.5975700227130355e-04	8.6683430242874421e-02	2.8625053127609534e-03
19                      	1.8122225500842111e-03	3.2930718865962320e-03	6.1937003813911627e-04	8.0675334767999360e-02	2.5774296827415985e-03
20                      	1.7378540574009189e-03	4.4072190662458391e-03	5.8549980879326659e-04	7.5372454086999621e-02	2.3284787628911306e-03
21                      	1.6764526592074850e-03	6.4728466732695998e-03	5.5450827858965839e-04	7.0528699652180879e-02	2.1161677230722505e-03
22                      	1.6246156807369844e-03	1.1666582209580577e-02	5.2662874784389002e-04	6.6192960460675201e-02	1.9369676073400595e-03
23                      	1.5786317612992221e-03	4.0869204113942140e-02	5.0061830431727882e-04	6.2530116747963022e-02	1.7854499111727947e-03
24                      	1.5355664247652511e-03	1.2941385984851473e-02	4.7746693067466717e-04	5.9345867347204588e-02	1.6581418598684472e-03
25                      	1.4927878159014234e-03	7.5092296351001037e-03	4.5726812086462873e-04	5.6653698005127380e-02	1.5551499299161560e-03
26                      	1.4462432653463688e-03	5.4259116712558836e-03	4.4022288549980108e-04	5.4416491235756093e-02	1.4736518173883338e-03
27                      	1.4041907509711514e-03	4.3063619636141580e-03	4.2539598676160576e-04	5.2702276377359344e-02	1.4042455845182131e-03
28                      	1.3652523888933634e-03	3.6176483499478149e-03	4.1312125630725652e-04	5.1367097201252508e-02	1.3503623465698326e-03
29                      	1.3265371500841116e-03	3.1556465353460273e-03	4.0283242392489735e-04	5.0294022912639694e-02	1.3037513318487619e-03
30                      	1.2933589540719071e-03	2.8209467311144016e-03	3.9311493373083095e-04	4.9547623984579056e-02	1.2651941786302366e-03
31                      	1.2629927830318129e-03	2.5703655139188322e-03	3.8491458388866884e-04	4.9018875713597559e-02	1.2306169012768532e-03
32                      	1.2360124329936978e-03	2.3779873076614738e-03	3.7716786517652171e-04	4.8741146878138929e-02	1.2038435891311879e-03
33                      	1.2114225113752869e-03	2.2289361386315463e-03	3.6995803429161565e-04	4.8763823824348414e-02	1.1841171846889099e-03
34                      	1.1935274307728733e-03	2.1134701669252246e-03	3.6350429276429128e-04	4.8874067119651220e-02	1.1697748825268311e-03
35                      	1.1836154789806289e-03	2.0324781735172582e-03	3.5921882777002637e-04	4.9387449341748137e-02	1.1615390715006590e-03
