# Force coefficients    
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 4.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  	Cm                      	Cd                      	Cl                      	Cl(f)                   	Cl(r)                   
1                       	9.9146016613403964e-01	1.7041492459149470e+00	1.8758469782620268e+00	1.9293836552650530e+00	-5.3536677003026223e-02
2                       	4.6677587270748022e-01	8.7405950190779558e-01	2.1562316655654636e+00	1.5448917054902120e+00	6.1133996007525160e-01
3                       	2.9643342945907097e-01	4.9205272008258855e-01	2.1703057394774898e+00	1.3815862991978158e+00	7.8871944027967400e-01
4                       	2.2562690419798867e-01	3.4953143817774979e-01	2.1417465430995071e+00	1.2965001757477421e+00	8.4524636735176484e-01
5                       	1.8573919105305348e-01	3.1496902309994601e-01	2.1339687535128107e+00	1.2527235678094588e+00	8.8124518570335186e-01
6                       	1.5925101001533246e-01	3.1733850342184844e-01	2.1494406903559797e+00	1.2339713551933222e+00	9.1546933516265738e-01
7                       	1.4000637103447000e-01	3.2540219563469458e-01	2.1758285937124753e+00	1.2279206678907078e+00	9.4790792582176764e-01
8                       	1.2522145040899491e-01	3.3040705605586296e-01	2.2035922370517258e+00	1.2270175689348579e+00	9.7657466811686799e-01
9                       	1.1341668669645953e-01	3.3231240322560035e-01	2.2281825006171894e+00	1.2275079370050541e+00	1.0006745636121352e+00
10                      	1.0371988115362066e-01	3.3248774424682426e-01	2.2481970210060287e+00	1.2278183916566350e+00	1.0203786293493937e+00
11                      	9.5579531596746772e-02	3.3170609785820898e-01	2.2637438826650880e+00	1.2274514729292907e+00	1.0362924097357973e+00
12                      	8.8628402534183651e-02	3.3047569493747464e-01	2.2752033597057939e+00	1.2262300823870806e+00	1.0489732773187133e+00
13                      	8.2610690385038377e-02	3.2932162844891677e-01	2.2832976693509850e+00	1.2242595250605308e+00	1.0590381442904542e+00
14                      	7.7342571390014547e-02	3.2827106913789117e-01	2.2887500965485459e+00	1.2217176196642874e+00	1.0670324768842585e+00
15                      	7.2718163887876316e-02	3.2729988055328901e-01	2.2920206126280314e+00	1.2187284702018919e+00	1.0732921424261395e+00
16                      	6.8597666376040881e-02	3.2655743891882894e-01	2.2927493798288219e+00	1.2149723562904517e+00	1.0777770235383701e+00
17                      	6.4901945488109763e-02	3.2612826032414349e-01	2.2913278016232477e+00	1.2105658462997335e+00	1.0807619553235142e+00
18                      	6.1568528358455034e-02	3.2557934843811992e-01	2.2881716118862738e+00	1.2056543343015920e+00	1.0825172775846819e+00
19                      	5.8548606126946484e-02	3.2506440521921665e-01	2.2832321648022118e+00	1.2001646885280524e+00	1.0830674762741594e+00
20                      	5.5803273501119223e-02	3.2490587770376111e-01	2.2765604708664733e+00	1.1940835089343558e+00	1.0824769619321175e+00
21                      	5.3300562160877592e-02	3.2532239641330352e-01	2.2681524378273403e+00	1.1873767810745477e+00	1.0807756567527926e+00
22                      	5.1013253739548355e-02	3.2634912091809481e-01	2.2579779939419296e+00	1.1800022507105132e+00	1.0779757432314163e+00
23                      	4.8917584821673459e-02	3.2820353663588031e-01	2.2460113976184979e+00	1.1719232836309224e+00	1.0740881139875755e+00
24                      	4.6992533820934719e-02	3.3022667697286834e-01	2.2320569175029528e+00	1.1630209925724111e+00	1.0690359249305417e+00
25                      	4.5206133950863758e-02	3.3256060338813470e-01	2.2160421859848047e+00	1.1532272269432662e+00	1.0628149590415386e+00
26                      	4.3557060312631013e-02	3.3514290682423681e-01	2.1981407869524858e+00	1.1426274537888739e+00	1.0555133331636120e+00
27                      	4.2031796591549278e-02	3.3833169794456514e-01	2.1784263780507231e+00	1.1312449856169109e+00	1.0471813924338123e+00
28                      	4.0614952717930218e-02	3.4194442525332891e-01	2.1570312408854688e+00	1.1191305731606647e+00	1.0379006677248042e+00
29                      	3.9301162365423976e-02	3.4482850865300135e-01	2.1335630038475797e+00	1.1060826642892139e+00	1.0274803395583658e+00
30                      	3.8081068342684994e-02	3.4738808784374509e-01	2.1083615705650800e+00	1.0922618536252251e+00	1.0160997169398549e+00
31                      	3.6946987989339222e-02	3.4913328630176160e-01	2.0814646550577836e+00	1.0776793155182309e+00	1.0037853395395526e+00
32                      	3.5891799652551244e-02	3.4947983475098982e-01	2.0527714115935631e+00	1.0622775054493327e+00	9.9049390614423027e-01
33                      	3.4909602680189770e-02	3.4855719561815141e-01	2.0227379905898508e+00	1.0462785979751152e+00	9.7645939261473569e-01
34                      	3.3995045723069925e-02	3.4620482034609035e-01	1.9914422951843125e+00	1.0297161933152261e+00	9.6172610186908636e-01
35                      	3.3142912124970773e-02	3.4273769077773003e-01	1.9589670693248380e+00	1.0126264467873898e+00	9.4634062253744822e-01
36                      	3.2348535191298211e-02	3.3854397300093270e-01	1.9253255154585636e+00	9.9501129292057999e-01	9.3031422253798357e-01
37                      	3.1607385818363448e-02	3.3436336247417092e-01	1.8909896279293508e+00	9.7710219978303881e-01	9.1388742814631196e-01
38                      	3.0915019504436075e-02	3.3094687977075837e-01	1.8561770532061008e+00	9.5900354610748650e-01	8.9717350709861432e-01
39                      	3.0267328520502443e-02	3.2977146517397610e-01	1.8218640224894953e+00	9.4119933976525005e-01	8.8066468272424525e-01
40                      	2.9660381563339253e-02	3.3140421819804727e-01	1.7884317056602959e+00	9.2387623439348721e-01	8.6455547126680865e-01
41                      	2.9089721878033242e-02	3.3595668954360813e-01	1.7563249006987811e+00	9.0725217222742383e-01	8.4907272847135729e-01
42                      	2.8551223408512544e-02	3.4313385361621773e-01	1.7260258639593760e+00	8.9156415538820055e-01	8.3446170857117541e-01
43                      	2.8042537936182142e-02	3.5242445337452305e-01	1.6981646283590379e+00	8.7712485211570113e-01	8.2103977624333679e-01
44                      	2.7562228062289165e-02	3.6260781608557324e-01	1.6731946144726706e+00	8.6415953529862444e-01	8.0903507917404616e-01
45                      	2.7107392477233341e-02	3.7231889772292859e-01	1.6511624302133159e+00	8.5268860758389131e-01	7.9847382262942457e-01
46                      	2.6673627705922080e-02	3.8069492808668620e-01	1.6318760733990905e+00	8.4261166440546731e-01	7.8926440899362316e-01
47                      	2.6255899203763255e-02	3.8769321343114060e-01	1.6158852886321657e+00	8.3419854351984613e-01	7.8168674511231961e-01
