# Forces                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  forces(pressure viscous porous)	moments(pressure viscous porous)
1                       	((1.4905850411132855e+00 -1.2928802093514828e-04 3.7255707007209105e+00) (9.7615981591132495e-01 -7.5303276723916843e-07 9.8440807092434086e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((1.1993153205185802e-04 -5.6946437501148316e-06 7.2829347330582959e-05) (-1.8133243182451529e-07 9.9722152210067261e-01 -1.2513673782683015e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
2                       	((8.4189185227136276e-01 -7.8757124299252387e-05 4.3082199683688547e+00) (4.5853543019123078e-01 -2.2501520608168136e-07 1.3548343946375508e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.4782138592918034e-05 -4.0182915473030244e-06 5.8244745131890726e-05) (-1.6800430837555141e-09 4.7061275825873078e-01 -1.8869699222038747e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
3                       	((4.0398173376992697e-01 -4.9264456350410614e-05 4.3339278659406126e+00) (2.8916849462303218e-01 -3.5673065183707589e-07 5.3162308242673956e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.1548462546286001e-05 -1.5945179794435342e-06 2.4012378736954680e-05) (2.5495086517419408e-07 2.9929717075096551e-01 -2.8206410127603991e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
4                       	((2.6164396543955948e-01 -4.3596247477101035e-05 4.2740924723052096e+00) (2.1812380356882355e-01 -5.4572355818535858e-07 7.3601191407074544e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((1.0816468678714192e-05 5.6756474254628276e-07 -6.7169058493729805e-05) (4.7207420452001144e-07 2.2829223638709034e-01 2.2861058526516068e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
5                       	((2.7796879626938037e-01 -5.3675647764541310e-05 4.2586762060721171e+00) (1.7810992026379036e-01 -6.2697779894778606e-07 9.0805656325571634e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.6549652742083019e-05 1.4164539208219854e-06 -1.1486101307256844e-04) (6.0009263279975193e-07 1.8857737401861613e-01 -4.5808489327772860e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
6                       	((3.4164003749589478e-01 -5.9189235923237352e-05 4.2912709725394702e+00) (1.5190331437527749e-01 -5.4438324292795616e-07 1.0404055344221319e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((5.3510064041906429e-05 9.8295740499408656e-07 -1.1773133005710513e-04) (6.7815681673094832e-07 1.6229079220977588e-01 -6.2725377970124932e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
7                       	((4.0045741084418363e-01 -4.9670077200094188e-05 4.3453133952169907e+00) (1.3303537900208312e-01 -2.6826717440371387e-07 1.1510645065053299e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((5.7944446587031447e-05 1.6880956997565052e-07 -1.0548592707007419e-04) (7.2517522579025345e-07 1.4319383863053375e-01 -6.1247457647784406e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
8                       	((4.4230441915648733e-01 -3.9579255938567989e-05 4.4012194921219532e+00) (1.1856326372923018e-01 -6.2167800950457040e-09 1.2496660280340133e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((5.0746133626888910e-05 -3.9410848298026538e-07 -8.2721027358427233e-05) (6.5918139840013163e-07 1.2850149608946521e-01 -6.4328404769763549e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
9                       	((4.7037295204897955e-01 -2.8290378884459206e-05 4.4500822381286120e+00) (1.0696754267066305e-01 2.5871014554150670e-07 1.3448697538337826e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((4.3310726216248450e-05 -7.6162936388085258e-07 -6.6320125250109656e-05) (4.8001379842129485e-07 1.1674089305551898e-01 -4.9757269303245073e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
10                      	((4.8915653471461956e-01 -1.7297846125418737e-05 4.4891224456905450e+00) (9.7381563060257678e-02 3.9202177031885730e-07 1.4394294298343973e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.6596714137598408e-05 -9.6986271870633812e-07 -6.6121608415378624e-05) (2.9478042947081751e-07 1.0705750122311702e-01 -3.8540866627140507e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
11                      	((5.0263980916980278e-01 -1.4706313496304941e-05 4.5182167910584399e+00) (8.9302214968500923e-02 4.2393230887756040e-07 1.5343443400692332e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((2.7432784452436363e-05 -1.0834449380872387e-06 -6.1618693741306052e-05) (2.0706523059408961e-07 9.8916906797282503e-02 -3.9007501129894669e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
12                      	((5.1312423269015706e-01 -1.1730755598821409e-05 4.5385522994798242e+00) (8.2396660381753598e-02 4.0735772968438524e-07 1.6288053481734524e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((1.5700469322856188e-05 -1.1147833481873078e-06 -4.7101004949255315e-05) (1.5959786981326219e-07 9.1962028826526321e-02 -3.9340460185685131e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
13                      	((5.2199637030189672e-01 -6.2657793299140384e-06 4.5522057297310790e+00) (7.6489543759958728e-02 3.9191993309618292e-07 1.7215094763117500e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.9503723503757533e-06 -1.0719819944674406e-06 -2.6130146852364859e-05) (6.4452542441947574e-08 8.5981546854902530e-02 -3.9467738750326890e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
14                      	((5.2904778893629312e-01 -1.8989492222942408e-06 4.5601953579030114e+00) (7.1317099649508206e-02 3.9251159484862513e-07 1.8109333082406181e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-8.6416111993251879e-06 -9.7640875074616960e-07 5.8748648887960305e-06) (-7.1726047345781271e-08 8.0752380005468749e-02 -3.7219042934031192e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
15                      	((5.3585466656831182e-01 -2.7083929172575745e-06 4.5619798847180419e+00) (6.6774015983521437e-02 3.9962110649925653e-07 1.8985939135152365e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.7666999793513661e-05 -8.1942634327493778e-07 3.7480399540348885e-05) (-2.4838668880548859e-07 7.6142012171252965e-02 -2.9550171445348962e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
16                      	((5.4237882611972921e-01 5.8215973131006802e-06 4.5577847481624278e+00) (6.2741394261983885e-02 3.8247961336802077e-07 1.9836568256735285e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.8011597773842998e-05 -5.9103247004025395e-07 5.6079424630787390e-05) (-4.5017470420831910e-07 7.2050522122957192e-02 -1.6508523569572431e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
17                      	((5.4822411634245982e-01 1.4182653071448025e-06 4.5485914928390265e+00) (5.9143216694258156e-02 3.3759425840940965e-07 2.0655247093831337e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.9776536949595702e-05 -3.1831275142970291e-07 6.9565239636803364e-05) (-7.1231771545560953e-07 6.8399683582272386e-02 -2.0833855304138578e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
18                      	((5.5403353670092526e-01 4.3419329981323242e-07 4.5342329655389060e+00) (5.5916749944015673e-02 2.6545435246828306e-07 2.1441241620979240e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.6907371293885454e-05 -7.8438365275576324e-08 7.4871708397546198e-05) (-9.2434107829183707e-07 6.5130777378026583e-02 1.1152230964163682e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
19                      	((5.6116921279709941e-01 1.7889231988848318e-06 4.5148559809354216e+00) (5.3015364641326342e-02 1.9195141348213821e-07 2.2194506872687300e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.3391960634730718e-05 8.4898675127143838e-08 8.8153565785526131e-05) (-1.0279832909784729e-06 6.2195767882314082e-02 2.2359017618856797e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
20                      	((5.7043880741138187e-01 1.1155411805607315e-05 4.4910431337953796e+00) (5.0403790406509164e-02 1.5901180192034070e-07 2.2915265477834606e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.4241147842571668e-05 1.6602569210188700e-07 1.1344588079416961e-04) (-9.9876019057726892e-07 5.9556529435909424e-02 3.1843173000562758e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
21                      	((5.8115412953869661e-01 3.1307885099478183e-05 4.4626619862560561e+00) (4.8052004215338284e-02 1.9293745037837385e-07 2.3604009479149528e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-2.9579460105989396e-05 1.7297608378247491e-07 1.3127943707422896e-04) (-9.0242340459773814e-07 5.7180312478667346e-02 4.1691632160320731e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
22                      	((5.9244680364935121e-01 5.6488394211390966e-05 4.4290098147923054e+00) (4.5932328106653514e-02 2.8980417122671319e-07 2.4258907641388237e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.5816991357261077e-05 1.1589519086631768e-07 1.2482317375653578e-04) (-8.1991802506393271e-07 5.5037681733739609e-02 5.2456266041391249e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
23                      	((6.0471271223226153e-01 7.2742710130696314e-05 4.3904626848634525e+00) (4.4020679597068291e-02 4.0544691809112223e-07 2.4872723520283083e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.1480906034023078e-05 1.4395140999810238e-08 8.5547817113363340e-05) (-8.1136098530787425e-07 5.3104291532012522e-02 6.4179893206189892e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
24                      	((6.1681667842348087e-01 7.0386552653939146e-05 4.3465640831375403e+00) (4.2278054695859192e-02 4.7949775613232829e-07 2.5438358621991980e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.2931019953514195e-05 -1.0552072368414455e-07 5.0193290838802666e-05) (-8.9629559647014914e-07 5.1345115782598032e-02 7.6158023048318328e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
25                      	((6.3061060601024588e-01 5.2610560184514586e-05 4.2981609861220207e+00) (4.0712611058425045e-02 4.6499530281128763e-07 2.5958924301443122e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-7.5260858560060023e-05 -2.1651978391043388e-07 3.4662442879515099e-05) (-1.0539584591499326e-06 4.9754746162734613e-02 8.9425283439398622e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
26                      	((6.4544954386701958e-01 2.6455021154152740e-05 4.2456720843262099e+00) (3.9293472706827752e-02 3.5636722339260516e-07 2.6424365948400617e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-9.8159175264267407e-05 -3.0939240786516214e-07 5.0917569598271911e-05) (-1.2651491130326785e-06 4.8313937955617448e-02 1.0270882890215892e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
27                      	((6.5777707182389189e-01 -1.0383454232385993e-07 4.1879484145876482e+00) (3.8002810139044413e-02 1.9689761732584966e-07 2.6826040836572054e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.1049870645632735e-04 -3.9819352708775079e-07 9.4000784004033360e-05) (-1.4612267356256289e-06 4.7012922056436188e-02 1.1420053106631237e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
