# Forces                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  forces(pressure viscous porous)	moments(pressure viscous porous)
28                      	((6.6858299361839757e-01 -1.7169618000442793e-05 4.1267088482424858e+00) (3.6835347869780814e-02 5.2067411461370741e-08 2.7174674937054201e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.0272017510655203e-04 -4.9200534617923601e-07 1.3495009281648025e-04) (-1.5720341679014916e-06 4.5837111702799367e-02 1.2117722981649157e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
29                      	((6.7480475013639007e-01 -1.9693040044483808e-05 4.0612580399059111e+00) (3.5774299174709923e-02 -1.0600128244911097e-08 2.7466894258998311e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-8.1765695534777045e-05 -5.6813506588931307e-07 1.6521564632197399e-04) (-1.5717834440007725e-06 4.4775456306196643e-02 1.2128929354852221e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
30                      	((6.7762820748413566e-01 -6.1876744756487009e-06 3.9934361431912908e+00) (3.4808110591342631e-02 2.9788771235673517e-08 2.7703691621780057e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.0123879114978331e-05 -6.0240056823263812e-07 1.8075326932367466e-04) (-1.4942264419669361e-06 4.3818448797663126e-02 1.1642093070297078e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
31                      	((6.7582763386882772e-01 1.9033087592980479e-05 3.9236358987018796e+00) (3.3927171526436914e-02 1.4123103095728840e-07 2.7886269192745308e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.0149058989745797e-05 -5.9482756334606329e-07 1.8787477930873499e-04) (-1.4369889347470763e-06 4.2959478780303879e-02 1.1110045886714085e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
32                      	((6.6914009918866191e-01 3.6532615639938722e-05 3.8520386040341901e+00) (3.3122611633740695e-02 2.6766279673299111e-07 2.8016803398655043e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.8486944069061461e-05 -5.6288369007188955e-07 1.7994318927474259e-04) (-1.4772060769660665e-06 4.2191599186233227e-02 1.0852021841167623e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
33                      	((6.5740710587793449e-01 3.6139889129567139e-05 3.7788471845895315e+00) (3.2387285634841959e-02 3.5202676133574074e-07 2.8095587791138969e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.0647662286646875e-05 -5.2403338252585515e-07 1.5703998229917588e-04) (-1.6139619771083206e-06 4.1508730854094046e-02 1.0933260932123570e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
34                      	((6.4244380755703079e-01 2.0203033299584444e-05 3.7057231731047460e+00) (3.1715039577239507e-02 3.7621201609047695e-07 2.8124353002180195e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.2796398768637821e-05 -4.8761189502636597e-07 1.3823350545769743e-04) (-1.7829119482191220e-06 4.0903030463947838e-02 1.1068036536762073e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
35                      	((6.2727928836005153e-01 3.3728015872125592e-07 3.6343214737695004e+00) (3.1100479729703347e-02 3.6445408574304468e-07 2.8108551296667707e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.6286459425790905e-05 -4.5946542641518839e-07 1.2798440670233122e-04) (-1.9016482496455788e-06 4.0364233389876672e-02 1.1372933435388385e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
36                      	((6.1584243740861366e-01 -1.8077864170207473e-05 3.5675909088129885e+00) (3.0538149739113885e-02 3.4623656557486870e-07 2.8057967819088172e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.8583802655184742e-05 -4.4186342746948787e-07 1.1205377967329906e-04) (-1.8985237233604175e-06 3.9879468294970029e-02 1.1651560151413212e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
37                      	((6.0946316836157011e-01 -2.3531142522120583e-05 3.5056271702213238e+00) (3.0023640733539789e-02 3.4407868677114916e-07 2.7983513058675791e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.0290432642282360e-05 -4.3666915115120237e-07 7.5813323931816416e-05) (-1.8705488472269614e-06 3.9436453309316069e-02 1.1836641939041918e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
38                      	((6.0907282453922473e-01 -1.3393509383612827e-05 3.4485510591427078e+00) (2.9551734758205609e-02 3.7853081140867002e-07 2.7891563705298623e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.3102651100531313e-05 -4.4304504692034001e-07 7.3784685491710552e-05) (-1.9513048403328518e-06 3.9026443834450295e-02 1.1906010099998265e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
39                      	((6.1593439351679458e-01 3.7732468530464531e-06 3.3975215572109647e+00) (2.9117577493356556e-02 4.5014235540437708e-07 2.7782473646985339e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.6254255424955431e-05 -4.5895409314015112e-07 9.9576985097894421e-05) (-2.0831189289471337e-06 3.8646715278825364e-02 1.2158391780828067e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
40                      	((6.2856641839637573e-01 3.0727089915520476e-05 3.3529662106437357e+00) (2.8717787429190615e-02 5.5561522926304132e-07 2.7654123815829237e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.0257948365329957e-05 -4.8666953523650320e-07 7.8036363234105876e-05) (-2.1982740342117716e-06 3.8297769515571012e-02 1.2259604484485746e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
41                      	((6.4393395003576315e-01 4.8473540511848937e-05 3.3145840790130592e+00) (2.8349143343747503e-02 7.0480147470808403e-07 2.7508906940953131e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((2.4139800452861824e-06 -5.2435504804946397e-07 4.5930508892070752e-05) (-2.3297235544759194e-06 3.7976120241903888e-02 1.2023901928917306e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
