# Forces                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  forces(pressure viscous porous)	moments(pressure viscous porous)
1                       	((1.4680391224795726e+00 -1.2450585287510153e-04 3.7410893718337745e+00) (1.9402593693503214e+00 -1.2379056679780943e-06 1.0604584690278964e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((1.1997753657986757e-04 -5.1155256339927824e-06 7.0588904721962341e-05) (-2.2066550499835334e-07 1.9829254477937133e+00 -3.6433504911286116e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
2                       	((8.3770204971093742e-01 -7.6155523718410902e-05 4.3111459216893868e+00) (9.1041695410465373e-01 -3.9629039136948456e-07 1.3174094415402291e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.0746588455293562e-05 -3.5200271328979514e-06 5.3072603777219854e-05) (-7.6224762089257837e-08 9.3355526544209333e-01 -9.0062405992746765e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
3                       	((4.0901851457293692e-01 -4.3076033247634855e-05 4.3349396711058956e+00) (5.7508692559224017e-01 -4.9408006160937292e-07 5.6718078490837010e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-8.2266223759839326e-06 -1.4204950330953256e-06 1.2785017773406330e-05) (1.6761645072494591e-07 5.9286827941317499e-01 -3.6157467940776527e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
4                       	((2.6385184575549042e-01 -3.6493317722971391e-05 4.2756169039875669e+00) (4.3521103060000921e-01 -5.4412057139690035e-07 7.8761822114468277e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((6.6456869469821555e-06 6.7620366953555305e-07 -4.0174755066025382e-05) (3.3032715813982278e-07 4.5125313219230778e-01 -1.4761279553687236e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
5                       	((2.7409847980180879e-01 -3.6506213023087457e-05 4.2581085855841039e+00) (3.5583956639808323e-01 -5.3656982419707650e-07 9.8289214415171466e-03) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((2.2047467493130010e-05 1.4958050219523401e-06 -8.5780481851289319e-05) (3.7036083128550578e-07 3.7147688630108500e-01 -3.4108300498697356e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
6                       	((3.3140116888022553e-01 -4.1030076043780863e-05 4.2875913822109881e+00) (3.0327583796347141e-01 -4.9885895453670461e-07 1.1289998500970903e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((2.9447062307938585e-05 1.2003823061130327e-06 -6.9428968260545215e-05) (3.0066039074797671e-07 3.1850081964835880e-01 -6.8977805081391432e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
7                       	((3.8568794167202836e-01 -3.9231275658726881e-05 4.3391293908632091e+00) (2.6511644959736080e-01 -3.6634407529458715e-07 1.2527796561741111e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.5193828457517310e-05 4.4529248885434042e-07 -6.7146373788971696e-05) (2.5465439118626817e-07 2.8001229677645112e-01 -7.1658272737376490e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
8                       	((4.2498268108201670e-01 -3.7578098220503174e-05 4.3935566600196303e+00) (2.3583143102970919e-01 -2.2712194442170223e-07 1.3627814083821280e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.7490309725030937e-05 -2.3218378306145154e-07 -6.8632490631953592e-05) (1.9949246756012409e-07 2.5044313300177290e-01 -8.5696047575365211e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
9                       	((4.5217154065970067e-01 -3.1462995266417666e-05 4.4416781349383134e+00) (2.1245326579150006e-01 -1.3695866632973734e-07 1.4686866296065538e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.8140498198659502e-05 -7.1439456619360195e-07 -7.1762098000665791e-05) (1.1257617110491440e-07 2.2683408778748526e-01 -7.9062293135174903e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
10                      	((4.7174853456619009e-01 -2.4726220860164786e-05 4.4806513753648431e+00) (1.9322695392745848e-01 -4.3172013203768260e-08 1.5742666647214260e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((3.5175818103576990e-05 -1.0097859238398488e-06 -7.0092196309763834e-05) (3.6279264427065259e-08 2.0744077209316517e-01 -7.0364229292530390e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
