# Forces                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# Time                  forces(pressure viscous porous)	moments(pressure viscous porous)
11                      	((4.8634899042528862e-01 -2.0903997652770105e-05 4.5106852577205636e+00) (1.7706320529112937e-01 9.5435954523062062e-09 1.6802507609612036e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((2.6105881667576303e-05 -1.1292287025825912e-06 -6.5841244355148334e-05) (3.0516590817934616e-08 1.9116019242219612e-01 -6.2886815245858418e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
12                      	((4.9770074236671430e-01 -2.0790263015767530e-05 4.5325415150419319e+00) (1.6325064750823495e-01 1.9719138001608268e-08 1.7865204369655507e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((2.0897711795516164e-05 -1.1440888234105600e-06 -7.2045678457519324e-05) (1.1880796065293313e-07 1.7725794915719070e-01 -6.3002632063604856e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
13                      	((5.0734957470943043e-01 -2.1076803042724938e-05 4.5476735838290097e+00) (1.5129368218840314e-01 2.4841350610457522e-08 1.8921754872960720e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((1.4172646056225349e-05 -1.0937810583005884e-06 -6.4776683508442517e-05) (2.3116404801224389e-07 1.6522247455113506e-01 -6.6368095935149512e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
14                      	((5.1570948562108498e-01 -1.6243539415255122e-05 4.5575365584206313e+00) (1.4083265265469738e-01 4.5572017527690582e-08 1.9963634676460645e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((9.0346669729594962e-06 -9.9534820011790165e-07 -4.2209569246057764e-05) (3.2459815376675964e-07 1.5468613812822921e-01 -7.1243941070287786e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
15                      	((5.2291681719288852e-01 -1.1262297025261554e-05 4.5630516803390773e+00) (1.3168294391368951e-01 8.4865429744506683e-08 2.0989544916985889e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.7576775543207178e-06 -8.6506918896169317e-07 -1.2678266691830040e-06) (3.5373640768629270e-07 1.4543719284494158e-01 -7.2871984935234602e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
16                      	((5.2962258878245227e-01 -4.2787993802007996e-06 4.5635097044947397e+00) (1.2349228905520562e-01 1.2205091516100465e-07 2.1989055162903691e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.0880049704113008e-05 -7.0721700248440780e-07 3.5763595761004402e-05) (2.8884454650839670e-07 1.3719603996908425e-01 -6.7070441433853568e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
17                      	((5.3610014512405679e-01 5.6564668943477870e-06 4.5596791375843777e+00) (1.1615637552423023e-01 1.3468058305423820e-07 2.2976465662117359e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.9085618583788641e-05 -5.3309564257291604e-07 6.2428829193806641e-05) (1.3370920750474760e-07 1.2980442407186210e-01 -5.6098737361112839e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
18                      	((5.4162923889353154e-01 8.1192860441562243e-06 4.5524014535322257e+00) (1.0952945798270827e-01 1.2338753257342801e-07 2.3941770240321777e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.9339415429826552e-05 -3.6437621351842573e-07 7.0763788352492485e-05) (-8.6701449408580759e-08 1.2313742109312359e-01 -4.3880669891959687e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
19                      	((5.4661260773834308e-01 3.3624378757279211e-06 4.5415779670837226e+00) (1.0351620270009021e-01 8.8289267282045236e-08 2.4886362520700755e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.5155740007178784e-05 -2.2920694162084719e-07 6.9787986489925244e-05) (-3.1024085923760613e-07 1.1709744146083459e-01 -3.1246424185722631e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
20                      	((5.5177310531590718e-01 4.7543099179930249e-07 4.5273117814888657e+00) (9.8038650091615068e-02 3.6729924334274910e-08 2.5809160244080805e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.0190195541723854e-05 -1.4162850720620288e-07 6.9869081573465611e-05) (-4.5820815578615442e-07 1.1160668863074565e-01 -1.8660006207389394e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
21                      	((5.5760928541078236e-01 4.8037903893987698e-06 4.5095951812258326e+00) (9.3035507415824670e-02 1.2338602613209424e-08 2.6709694428848324e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-8.6223456605763471e-06 -1.0280301998824540e-07 8.3958386380406956e-05) (-4.9651557971740324e-07 1.0660122712477517e-01 -9.5960775617262686e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
22                      	((5.6424309557331631e-01 2.3177464881490408e-05 4.4883687120507432e+00) (8.8455146262873360e-02 6.4228321414916427e-08 2.7587275833115509e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.8386371862900508e-05 -1.0375841999417764e-07 1.1252297710337401e-04) (-4.6373134539227381e-07 1.0202661123751670e-01 -3.2592568382016572e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
23                      	((5.7215340890556754e-01 5.5230711958219333e-05 4.4635824700474878e+00) (8.4253664366193123e-02 2.0987492278193060e-07 2.8440325189508016e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.9869467911043672e-05 -1.3159827937679095e-07 1.3306690871622969e-04) (-4.4674756422986786e-07 9.7835301241626288e-02 3.4520107105702550e-08) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
24                      	((5.8006019165333678e-01 8.7643909650866447e-05 4.4348488048164443e+00) (8.0393162292399914e-02 4.1037990753615998e-07 2.9265030189461375e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-7.1550437853062487e-05 -1.7725781005211051e-07 1.3507890389036182e-04) (-5.1960215904029459e-07 9.3985244899679493e-02 1.3177770938828550e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
25                      	((5.8831951141648697e-01 1.0390869642312706e-04 4.4020275788719099e+00) (7.6801695359782388e-02 5.8118116666101404e-07 3.0056793097699666e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.0143724327303931e-04 -2.3357950293491785e-07 1.0944628843666188e-04) (-6.9833679899582881e-07 9.0412501481230451e-02 2.7518325473324842e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
26                      	((5.9677962411268981e-01 9.8000086260612379e-05 4.3654594962919981e+00) (7.3506189535783834e-02 6.4169376219896313e-07 3.0822077612973925e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.2873987813628179e-04 -2.9659335276083111e-07 9.7946954795610888e-05) (-9.4620677912552326e-07 8.7114417218614792e-02 4.5619985917345158e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
27                      	((6.0620957793337316e-01 7.5621798430494991e-05 4.3253111590868274e+00) (7.0453817955757114e-02 5.6461267238966891e-07 3.1541597014618783e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.4083386837442969e-04 -3.5975733988575582e-07 9.8281287424127457e-05) (-1.2037819706607948e-06 8.4063952940438447e-02 6.5887333557763083e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
28                      	((6.1625560028377180e-01 4.6250575619565352e-05 4.2818343864524202e+00) (6.7633250222885993e-02 3.8070072845149239e-07 3.2228095318517308e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.3429163029481973e-04 -4.1386060619012512e-07 1.1557714649770997e-04) (-1.4182766231412678e-06 8.1230319296466624e-02 8.4189509171607448e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
29                      	((6.2464803611227337e-01 2.1737266030252385e-05 4.2342640110379559e+00) (6.5008981193729373e-02 1.6402329314714375e-07 3.2861996657203303e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.1066292630908475e-04 -4.5033015879831953e-07 1.3397132433075727e-04) (-1.5483472080956565e-06 7.8602775061006755e-02 9.7013559565309616e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
30                      	((6.3219351405462809e-01 6.7268200624365776e-06 4.1832648143372939e+00) (6.2582661632862052e-02 -1.6844521937077234e-08 3.3458326792865721e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-7.3154994881914018e-05 -4.5765648930715739e-07 1.2615095739283889e-04) (-1.5953033264639943e-06 7.6162594341859291e-02 1.0313253873734302e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
31                      	((6.3793766375860783e-01 2.3906245860579918e-06 4.1289196098560286e+00) (6.0328908844915347e-02 -1.2597570073302156e-07 3.4009700259538547e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.3686660924941974e-05 -4.3589954235920080e-07 1.0876330169138920e-04) (-1.5998446066737371e-06 7.3894411878220809e-02 1.0301120752274855e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
32                      	((6.4072625181349196e-01 4.1612761459490484e-06 4.0710272658768165e+00) (5.8233417688487651e-02 -1.6036227477940957e-07 3.4515557310309343e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.4641962330746200e-05 -4.0031438007534313e-07 9.6786656332242181e-05) (-1.6101568989597266e-06 7.1783999619482564e-02 1.0042690333710204e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
33                      	((6.4083249034731282e-01 8.6652941200151701e-06 4.0105031533369866e+00) (5.6281900888990002e-02 -1.4479882729777015e-07 3.4972827842714722e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.3468175856423564e-05 -3.7303689585019119e-07 9.3630810434440270e-05) (-1.6766251713049409e-06 6.9819578397275386e-02 9.9518890872368739e-07) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
34                      	((6.3794752901191587e-01 9.2046901330002505e-06 3.9475061338460971e+00) (5.4462111680264845e-02 -1.0926659040186768e-07 3.5378456522527996e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.6148340531957780e-05 -3.6250411478396279e-07 9.7599339975125443e-05) (-1.8018098376776097e-06 6.7990453950254631e-02 1.0143692535833975e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
35                      	((6.3271279318757512e-01 1.9131907774641152e-06 3.8822047509904682e+00) (5.2762588367884965e-02 -7.3791919637282656e-08 3.5729387659207794e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.3952079370259971e-05 -3.7172160648237404e-07 1.0272439024482051e-04) (-1.9423323970418834e-06 6.6286195971548029e-02 1.0569074755622623e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
36                      	((6.2591488962341701e-01 -9.2203505125616276e-06 3.8146286998467334e+00) (5.1173056378448378e-02 -4.1289856143947295e-08 3.6022331070393578e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.5597128039183235e-05 -4.0143438820093802e-07 1.0839668724913756e-04) (-2.0652937678100310e-06 6.4697471816984625e-02 1.1113135956715075e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
37                      	((6.1904270156030994e-01 -2.3888213558766607e-05 3.7457240613410328e+00) (4.9684023388031878e-02 -1.2247953629497793e-08 3.6255194517668780e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.2860404555480456e-05 -4.4799440234720422e-07 1.0968002986798656e-04) (-2.1576512158813630e-06 6.3215219631129249e-02 1.1809865655333721e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
38                      	((6.1360677716734646e-01 -3.8070422459296861e-05 3.6759259041561121e+00) (4.8286982374170284e-02 1.3643902415878329e-08 3.6428202256089427e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-6.0749373255408593e-05 -5.0481964776943915e-07 1.0126940801684257e-04) (-2.2305876547677326e-06 6.1830543828519921e-02 1.2624660005335127e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
39                      	((6.1256840670431434e-01 -5.1166767151228005e-05 3.6071843896114766e+00) (4.6974523643637862e-02 3.2369281094743762e-08 3.6543655367513889e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.8539995129148386e-05 -5.6602757478659718e-07 9.0556603500537987e-05) (-2.3023124161743915e-06 6.0535223068579669e-02 1.3527137544676769e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
40                      	((6.1706800499202641e-01 -5.8944008371021280e-05 3.5402568906761576e+00) (4.5740431404068152e-02 4.3839620565247584e-08 3.6606520644434114e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.5021059756295873e-05 -6.2518410272842609e-07 7.8391656136633689e-05) (-2.3802718761119176e-06 5.9321388310781237e-02 1.4532419172963059e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
41                      	((6.2733510147891469e-01 -6.3193609699325738e-05 3.4760258770121650e+00) (4.4578277608301534e-02 5.1028456290472067e-08 3.6623924385397105e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-4.4942348629299763e-05 -6.7838287966053046e-07 6.3843347566133431e-05) (-2.4780866865351137e-06 5.8180122138946147e-02 1.5561547947634449e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
42                      	((6.4278556433524303e-01 -6.2793319855492265e-05 3.4154489793504630e+00) (4.3482142897192468e-02 6.0489594846378023e-08 3.6602748568288754e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.5748935680812396e-05 -7.2583224537365681e-07 5.1787207740811082e-05) (-2.6055005411191428e-06 5.7103172649270464e-02 1.6603725504757708e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
43                      	((6.6240268520032319e-01 -5.9337057998742051e-05 3.3597830650626319e+00) (4.2446221548722914e-02 7.7546550008265965e-08 3.6546191655444024e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-3.7245166355576653e-05 -7.6838095810847663e-07 4.6635682290796848e-05) (-2.7620330795656946e-06 5.6085844253322394e-02 1.7556185954170964e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
44                      	((6.8375090113533032e-01 -4.8536103304182934e-05 3.3099333693111093e+00) (4.1464731035816202e-02 1.0843245803609577e-07 3.6455859634231792e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-5.9423229576997458e-05 -8.0749947521305960e-07 5.2649248225498225e-05) (-2.9842058284917587e-06 5.5125263624053539e-02 1.8441417355378889e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
45                      	((7.0410643861238209e-01 -3.6663917889746704e-05 3.2659885353676348e+00) (4.0531356833475030e-02 1.5417127371411825e-07 3.6336325058996755e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-9.4566102769190323e-05 -8.4711427445360437e-07 6.2205356318000311e-05) (-3.2747162096405521e-06 5.4215632068741137e-02 1.9435144963996735e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
46                      	((7.2175038288481197e-01 -2.4768740735569610e-05 3.2275567176825390e+00) (3.9639473288560413e-02 2.0303401090275493e-07 3.6195429115641879e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.3486470462112160e-04 -8.8835738107104438e-07 7.6738004588418549e-05) (-3.6129527674480150e-06 5.3348143769225233e-02 2.0552805331367129e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
47                      	((7.3660348066204262e-01 -1.4780722478227505e-05 3.1957273160599042e+00) (3.8782946200238623e-02 2.5722153615353069e-07 3.6043261204427371e-02) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)) ((-1.6423177731884789e-04 -9.3051263207842086e-07 7.9749102433920163e-05) (-3.9638755641036592e-06 5.2512728920158590e-02 2.1753030474604250e-06) (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00))
